x
18.38
32.72
30.94
21.73
30.41
40.71
100
31.65
40.2
32.74
28.28
38
34.62
42.37
24.73
13.58
23.17
28.18
23.71
27.15
24.23
10
23.19
32.76
100
32.45
24.89
21.14
38.69
11.47
34.73
32.4
34.55
31.66
41.17
43.14
50.72
13.15
36
37.71
33.87
29.24
37
38.62
47.37
30.16
37.64
37
29.74
16.5
43.57
24.54
30.9
30.76
27.29
28.51
17.23
