FL_DATE,CRS_DEP_TIME,DEP_TIME,DEP_DELAY
8/16/2025 12:00:00 AM,0500,0452,-8
8/16/2025 12:00:00 AM,0600,0553,-7
8/16/2025 12:00:00 AM,0700,0653,-7
8/16/2025 12:00:00 AM,1433,1440,7
8/16/2025 12:00:00 AM,1536,1542,6
8/16/2025 12:00:00 AM,1640,1749,69
8/17/2025 12:00:00 AM,0500,0451,-9
8/17/2025 12:00:00 AM,0600,0601,1
8/17/2025 12:00:00 AM,0700,0657,-3
8/17/2025 12:00:00 AM,1014,1009,-5
8/17/2025 12:00:00 AM,1219,1209,-10
8/17/2025 12:00:00 AM,1433,1430,-3
8/17/2025 12:00:00 AM,1536,1532,-4
8/17/2025 12:00:00 AM,1640,1720,40
8/18/2025 12:00:00 AM,0500,0452,-8
8/18/2025 12:00:00 AM,0600,0551,-9
8/18/2025 12:00:00 AM,0700,0655,-5
8/18/2025 12:00:00 AM,1014,1020,6
8/18/2025 12:00:00 AM,1225,1219,-6
8/18/2025 12:00:00 AM,1433,1447,14
8/18/2025 12:00:00 AM,1536,1532,-4
8/19/2025 12:00:00 AM,0500,0457,-3
8/19/2025 12:00:00 AM,0600,0554,-6
8/19/2025 12:00:00 AM,0700,0652,-8
8/19/2025 12:00:00 AM,1014,1004,-10
8/19/2025 12:00:00 AM,1225,1354,89
8/19/2025 12:00:00 AM,1433,1534,61
8/19/2025 12:00:00 AM,1534,1925,231
8/20/2025 12:00:00 AM,0500,0454,-6
8/20/2025 12:00:00 AM,0600,0554,-6
8/20/2025 12:00:00 AM,0700,0650,-10
8/20/2025 12:00:00 AM,1014,1351,217
8/20/2025 12:00:00 AM,1225,1719,294
8/20/2025 12:00:00 AM,1433,1817,224
8/20/2025 12:00:00 AM,1534,2231,417
8/21/2025 12:00:00 AM,0500,0456,-4
8/21/2025 12:00:00 AM,0600,0555,-5
8/21/2025 12:00:00 AM,0700,0722,22
8/21/2025 12:00:00 AM,1014,1206,112
8/21/2025 12:00:00 AM,1225,1228,3
8/21/2025 12:00:00 AM,1433,2051,378
8/21/2025 12:00:00 AM,1536,1738,122
8/21/2025 12:00:00 AM,1640,1959,199
8/22/2025 12:00:00 AM,0500,0459,-1
8/22/2025 12:00:00 AM,0600,0555,-5
8/22/2025 12:00:00 AM,0700,0656,-4
8/22/2025 12:00:00 AM,1014,1005,-9
8/22/2025 12:00:00 AM,1225,1220,-5
8/22/2025 12:00:00 AM,1433,1618,105
8/22/2025 12:00:00 AM,1536,1540,4
8/22/2025 12:00:00 AM,1640,1633,-7
8/23/2025 12:00:00 AM,0500,0500,0
8/23/2025 12:00:00 AM,0600,0624,24
8/23/2025 12:00:00 AM,0700,0654,-6
8/23/2025 12:00:00 AM,1433,1432,-1
8/23/2025 12:00:00 AM,1536,1525,-11
8/23/2025 12:00:00 AM,1640,1719,39
8/24/2025 12:00:00 AM,0500,0453,-7
8/24/2025 12:00:00 AM,0600,0640,40
8/24/2025 12:00:00 AM,0700,0652,-8
8/24/2025 12:00:00 AM,1014,1058,44
8/24/2025 12:00:00 AM,1219,1210,-9
8/24/2025 12:00:00 AM,1433,1443,10
8/24/2025 12:00:00 AM,1536,1527,-9
8/24/2025 12:00:00 AM,1640,1652,12
8/25/2025 12:00:00 AM,0500,0457,-3
8/25/2025 12:00:00 AM,0600,0555,-5
8/25/2025 12:00:00 AM,0700,0656,-4
8/25/2025 12:00:00 AM,1014,1047,33
8/25/2025 12:00:00 AM,1225,1223,-2
8/25/2025 12:00:00 AM,1433,1436,3
8/25/2025 12:00:00 AM,1536,1556,20
8/26/2025 12:00:00 AM,0500,0450,-10
8/26/2025 12:00:00 AM,0600,0550,-10
8/26/2025 12:00:00 AM,0700,0652,-8
8/26/2025 12:00:00 AM,1014,1024,10
8/26/2025 12:00:00 AM,1225,1218,-7
8/26/2025 12:00:00 AM,1433,1424,-9
8/26/2025 12:00:00 AM,1534,1524,-10
8/26/2025 12:00:00 AM,1640,2338,418
8/27/2025 12:00:00 AM,0500,0453,-7
8/27/2025 12:00:00 AM,0600,0552,-8
8/27/2025 12:00:00 AM,0700,0652,-8
8/27/2025 12:00:00 AM,1014,1041,27
8/27/2025 12:00:00 AM,1225,1223,-2
8/27/2025 12:00:00 AM,1433,1426,-7
8/27/2025 12:00:00 AM,1534,1539,5
8/27/2025 12:00:00 AM,1640,1801,81
8/28/2025 12:00:00 AM,0500,0454,-6
8/28/2025 12:00:00 AM,0600,0553,-7
8/28/2025 12:00:00 AM,0700,0651,-9
8/28/2025 12:00:00 AM,1014,1002,-12
8/28/2025 12:00:00 AM,1225,1219,-6
8/28/2025 12:00:00 AM,1433,1433,0
8/28/2025 12:00:00 AM,1536,1537,1
8/29/2025 12:00:00 AM,1433,1536,63
8/29/2025 12:00:00 AM,1536,1533,-3
8/29/2025 12:00:00 AM,1640,1700,20
8/30/2025 12:00:00 AM,0500,0456,-4
8/30/2025 12:00:00 AM,0600,0556,-4
8/30/2025 12:00:00 AM,0700,0744,44
8/31/2025 12:00:00 AM,0700,0651,-9
8/31/2025 12:00:00 AM,0838,0831,-7
8/31/2025 12:00:00 AM,1014,1303,169
8/31/2025 12:00:00 AM,1219,1256,37
8/31/2025 12:00:00 AM,1433,1905,272
8/31/2025 12:00:00 AM,1536,2051,315
8/31/2025 12:00:00 AM,1640,1658,18
